,Date,a,ticket
0,2017-04-19,-0.4019,GOOGL
1,2017-04-19,-0.4019,GOOGL
2,2017-04-17,0.0258,GOOGL
3,2017-04-17,0.0258,GOOGL
4,2017-04-17,0.0258,GOOGL
5,2017-04-13,-0.1027,GOOGL
6,2017-04-13,0.7269,GOOGL
7,2017-04-13,-0.1027,GOOGL
8,2017-04-13,-0.1027,GOOGL
9,2017-04-10,0.8402,GOOGL
10,2017-04-10,0.8402,GOOGL
11,2017-04-07,-0.2263,GOOGL
12,2017-04-07,-0.5574,GOOGL
13,2017-04-07,-0.2263,GOOGL
14,2017-04-07,-0.2263,GOOGL
15,2017-04-06,-0.5574,GOOGL
16,2017-04-06,-0.2732,GOOGL
17,2017-04-05,-0.2732,GOOGL
18,2017-04-04,-0.7783,GOOGL
19,2017-04-04,-0.7783,GOOGL
20,2017-04-04,-0.7783,GOOGL
21,2017-03-27,0.4767,GOOGL
22,2017-03-27,0.4767,GOOGL
23,2017-03-27,0.4767,GOOGL
24,2017-03-27,0.4767,GOOGL
25,2017-03-24,-0.29600000000000004,GOOGL
26,2017-03-24,-0.8519,GOOGL
27,2017-03-24,-0.8519,GOOGL
28,2017-03-24,-0.8519,GOOGL
29,2017-03-22,0.9201,GOOGL
30,2017-03-22,0.9201,GOOGL
31,2017-03-22,0.9201,GOOGL
32,2017-03-17,0.0258,GOOGL
33,2017-03-17,-0.4215,GOOGL
34,2017-03-15,0.0,GOOGL
35,2017-03-11,0.0516,GOOGL
36,2017-03-11,0.0516,GOOGL
37,2017-03-10,0.0516,GOOGL
38,2017-03-10,0.3947,GOOGL
39,2017-03-07,0.0,GOOGL
40,2017-03-07,0.0,GOOGL
41,2017-03-07,-0.5859,GOOGL
42,2017-03-06,0.1513,GOOGL
43,2017-03-06,0.1513,GOOGL
44,2017-03-06,0.1513,GOOGL
45,2017-03-01,0.25,GOOGL
46,2017-03-01,0.25,GOOGL
47,2017-03-01,0.25,GOOGL
48,2017-02-28,-0.7783,GOOGL
49,2017-02-25,0.0,GOOGL
50,2017-02-24,0.0,GOOGL
51,2017-02-24,0.0,GOOGL
52,2017-02-24,0.0,GOOGL
53,2017-02-22,0.5106,GOOGL
54,2017-02-22,0.2023,GOOGL
55,2017-02-17,-0.743,GOOGL
56,2017-02-16,0.5574,GOOGL
57,2017-02-16,0.5574,GOOGL
58,2017-02-16,0.5574,GOOGL
59,2017-02-14,0.29600000000000004,GOOGL
60,2017-02-14,0.5267,GOOGL
61,2017-02-10,0.3818,GOOGL
62,2017-02-03,-0.29600000000000004,GOOGL
63,2017-02-02,-0.2057,GOOGL
64,2017-02-02,0.0736,GOOGL
65,2017-01-27,0.5267,GOOGL
66,2017-01-27,0.836,GOOGL
67,2017-01-26,0.0,GOOGL
68,2017-01-26,0.3976,GOOGL
69,2017-01-26,0.3182,GOOGL
70,2017-01-10,-0.4588,GOOGL
71,2017-01-04,-0.2263,GOOGL
72,2016-11-16,-0.802,GOOGL
73,2016-11-16,-0.802,GOOGL
74,2016-11-15,0.765,GOOGL
75,2016-11-15,0.3182,GOOGL
76,2016-11-15,0.0258,GOOGL
77,2016-11-14,0.29600000000000004,GOOGL
78,2016-11-14,0.5267,GOOGL
79,2016-11-14,0.29600000000000004,GOOGL
80,2016-11-14,0.5267,GOOGL
81,2016-11-10,0.29600000000000004,GOOGL
82,2016-11-07,0.0,GOOGL
83,2016-11-05,0.0,GOOGL
84,2016-11-03,-0.7717,GOOGL
85,2016-10-27,0.5719,GOOGL
86,2016-10-27,0.0258,GOOGL
87,2016-10-27,0.0258,GOOGL
88,2016-10-26,0.25,GOOGL
89,2016-10-26,0.25,GOOGL
90,2016-10-20,0.3818,GOOGL
91,2016-10-20,0.6808,GOOGL
92,2016-10-20,0.6808,GOOGL
93,2016-10-11,0.2732,GOOGL
94,2016-10-11,0.2732,GOOGL
95,2016-10-11,0.3818,GOOGL
96,2016-10-10,0.4215,GOOGL
97,2016-10-10,0.5719,GOOGL
98,2016-10-06,0.34,GOOGL
99,2016-10-06,0.29600000000000004,GOOGL
100,2016-10-06,0.29600000000000004,GOOGL
101,2016-09-28,0.0,GOOGL
102,2016-09-27,0.0,GOOGL
103,2016-09-27,0.1531,GOOGL
104,2016-09-27,0.1531,GOOGL
105,2016-09-26,0.5106,GOOGL
106,2016-09-15,0.0516,GOOGL
107,2016-09-14,0.0516,GOOGL
108,2016-09-12,-0.4767,GOOGL
109,2016-09-08,-0.6124,GOOGL
110,2016-09-08,0.765,GOOGL
111,2016-09-08,0.7096,GOOGL
112,2016-09-08,0.4404,GOOGL
113,2016-09-02,0.0258,GOOGL
114,2016-08-30,0.5423,GOOGL
115,2016-08-22,0.5267,GOOGL
116,2016-08-22,0.0,GOOGL
117,2016-08-22,0.0,GOOGL
118,2016-08-17,-0.5574,GOOGL
119,2016-08-11,0.0,GOOGL
120,2016-08-11,0.0,GOOGL
121,2016-08-02,-0.3818,GOOGL
122,2016-08-02,-0.3818,GOOGL
123,2016-08-01,-0.1027,GOOGL
124,2016-07-29,0.6908,GOOGL
125,2016-07-28,0.0,GOOGL
126,2016-07-28,0.5106,GOOGL
127,2016-07-22,0.0258,GOOGL
128,2016-07-20,-0.3818,GOOGL
129,2016-07-20,-0.3818,GOOGL
130,2016-07-14,0.4215,GOOGL
131,2016-07-12,-0.4404,GOOGL
132,2016-07-11,-0.4404,GOOGL
133,2016-06-29,0.0,GOOGL
134,2016-06-20,-0.5859,GOOGL
135,2016-06-13,0.6249,GOOGL
136,2016-06-09,0.1027,GOOGL
137,2016-06-09,0.1027,GOOGL
138,2016-06-09,0.1027,GOOGL
139,2016-06-07,0.0,GOOGL
140,2016-06-03,0.34,GOOGL
141,2016-06-03,0.4019,GOOGL
142,2016-06-03,-0.128,GOOGL
143,2016-06-03,-0.128,GOOGL
144,2016-06-01,0.0,GOOGL
145,2016-06-01,0.0,GOOGL
146,2016-05-31,0.0,GOOGL
147,2016-05-31,0.0,GOOGL
148,2016-05-27,0.7351,GOOGL
149,2016-05-26,0.3182,GOOGL
150,2016-05-25,0.3612,GOOGL
151,2016-05-24,-0.3818,GOOGL
152,2016-05-19,0.4767,GOOGL
153,2016-05-18,0.0,GOOGL
154,2016-05-18,0.2023,GOOGL
155,2016-05-13,0.5267,GOOGL
156,2016-05-13,0.5267,GOOGL
157,2016-05-11,-0.3612,GOOGL
158,2016-05-11,-0.3612,GOOGL
159,2016-05-05,0.0,GOOGL
160,2016-05-03,0.0,GOOGL
161,2016-04-28,0.0,GOOGL
162,2016-04-28,0.6124,GOOGL
163,2016-04-27,-0.2732,GOOGL
164,2016-04-26,-0.3818,GOOGL
165,2016-04-26,0.4019,GOOGL
166,2016-04-26,0.2263,GOOGL
167,2016-04-22,0.128,GOOGL
168,2016-04-22,-0.7003,GOOGL
169,2016-04-22,0.0,GOOGL
170,2016-04-22,-0.3182,GOOGL
171,2016-04-22,-0.3182,GOOGL
172,2016-04-22,-0.3182,GOOGL
173,2016-04-21,0.4404,GOOGL
174,2016-04-21,0.0,GOOGL
175,2016-04-21,0.5106,GOOGL
176,2016-04-19,0.0,GOOGL
177,2016-04-19,0.0,GOOGL
178,2016-04-15,0.4019,GOOGL
179,2016-04-08,-0.4939,GOOGL
180,2016-04-07,0.8588,GOOGL
181,2016-04-07,0.0,GOOGL
182,2016-04-07,0.0258,GOOGL
183,2016-03-29,0.0,GOOGL
184,2016-03-29,0.0,GOOGL
185,2016-03-18,0.743,GOOGL
186,2016-03-17,-0.0516,GOOGL
187,2016-03-17,0.0,GOOGL
188,2016-03-17,0.0,GOOGL
189,2016-03-15,0.0,GOOGL
190,2016-03-14,0.6808,GOOGL
191,2016-03-10,0.2263,GOOGL
192,2016-03-07,0.7269,GOOGL
193,2016-03-04,0.3818,GOOGL
194,2016-03-04,0.4215,GOOGL
195,2016-03-04,0.0,GOOGL
196,2016-03-03,0.0,GOOGL
197,2016-02-19,0.5106,GOOGL
198,2016-02-12,0.0,GOOGL
199,2016-02-11,0.1779,GOOGL
200,2016-02-11,0.2263,GOOGL
201,2016-02-11,0.2263,GOOGL
202,2016-02-11,0.0,GOOGL
203,2016-02-10,0.9081,GOOGL
204,2016-02-10,-0.2263,GOOGL
205,2016-02-10,0.9081,GOOGL
206,2016-02-09,-0.1779,GOOGL
207,2016-02-09,-0.1779,GOOGL
208,2016-02-08,-0.128,GOOGL
209,2016-02-08,-0.2732,GOOGL
210,2016-02-04,0.4404,GOOGL
211,2016-02-03,-0.0516,GOOGL
212,2016-02-03,-0.5267,GOOGL
213,2016-02-02,0.9216,GOOGL
214,2016-02-02,0.3818,GOOGL
215,2016-02-02,0.8718,GOOGL
216,2016-02-02,0.2023,GOOGL
217,2016-02-02,0.9216,GOOGL
218,2016-02-01,0.8718,GOOGL
219,2016-02-01,0.7003,GOOGL
220,2016-02-01,0.4767,GOOGL
221,2016-01-29,0.7906,GOOGL
222,2016-01-29,-0.6249,GOOGL
223,2016-01-29,0.7906,GOOGL
224,2016-01-28,0.0,GOOGL
225,2016-01-28,0.0258,GOOGL
226,2016-01-28,0.0258,GOOGL
227,2016-01-27,0.34,GOOGL
228,2016-01-27,0.743,GOOGL
229,2016-01-27,0.1779,GOOGL
230,2016-01-27,0.1779,GOOGL
231,2016-01-27,0.1779,GOOGL
232,2016-01-27,0.743,GOOGL
233,2016-01-27,0.34,GOOGL
234,2016-01-26,0.3182,GOOGL
235,2016-01-26,-0.29600000000000004,GOOGL
236,2016-01-25,0.4404,GOOGL
237,2016-01-23,0.128,GOOGL
238,2016-01-22,-0.128,GOOGL
239,2016-01-20,0.4588,GOOGL
240,2016-01-12,0.0,GOOGL
241,2016-01-12,-0.25,GOOGL
242,2015-12-22,0.6369,GOOGL
243,2015-12-16,0.0,GOOGL
244,2015-12-16,0.0,GOOGL
245,2015-12-16,0.0,GOOGL
246,2015-12-11,0.0,GOOGL
247,2015-12-11,0.0,GOOGL
248,2015-12-10,0.6115,GOOGL
249,2015-12-08,0.0,GOOGL
250,2015-12-08,0.0,GOOGL
251,2015-12-08,0.0,GOOGL
252,2015-12-07,0.0,GOOGL
253,2015-12-07,0.0,GOOGL
254,2015-12-03,0.0,GOOGL
255,2015-12-01,-0.1779,GOOGL
256,2015-12-01,-0.1779,GOOGL
257,2015-12-01,-0.6124,GOOGL
258,2015-11-30,-0.2732,GOOGL
259,2015-11-29,-0.2732,GOOGL
260,2015-11-27,-0.4767,GOOGL
261,2015-11-20,0.6369,GOOGL
262,2015-11-20,0.6369,GOOGL
263,2015-11-20,0.0,GOOGL
264,2015-11-20,0.0,GOOGL
265,2015-11-19,0.6808,GOOGL
266,2015-11-19,0.6808,GOOGL
267,2015-11-19,0.0,GOOGL
268,2015-11-17,-0.7003,GOOGL
269,2015-11-17,0.6908,GOOGL
270,2015-11-17,0.6908,GOOGL
271,2015-11-17,-0.7003,GOOGL
272,2015-11-17,-0.7003,GOOGL
273,2015-11-17,-0.7003,GOOGL
274,2015-11-13,0.0,GOOGL
275,2015-11-13,0.0,GOOGL
276,2015-11-10,-0.1779,GOOGL
277,2015-11-10,-0.1779,GOOGL
278,2015-11-10,-0.1779,GOOGL
279,2015-11-09,0.4019,GOOGL
280,2015-11-09,0.4019,GOOGL
281,2015-11-04,-0.4588,GOOGL
282,2015-11-04,-0.4588,GOOGL
283,2015-11-04,-0.4588,GOOGL
284,2015-11-04,0.4215,GOOGL
285,2015-11-03,0.0,GOOGL
286,2015-11-03,0.0,GOOGL
287,2015-11-03,0.0,GOOGL
288,2015-11-03,0.0,GOOGL
289,2015-11-03,0.0,GOOGL
290,2015-11-02,0.0,GOOGL
291,2015-10-31,-0.2263,GOOGL
292,2015-10-31,-0.2263,GOOGL
293,2015-10-30,-0.2263,GOOGL
294,2015-10-29,0.3182,GOOGL
295,2015-10-29,0.3182,GOOGL
296,2015-10-26,0.1779,GOOGL
297,2015-10-23,0.29600000000000004,GOOGL
298,2015-10-23,0.8176,GOOGL
299,2015-10-23,0.8176,GOOGL
300,2015-10-23,0.8176,GOOGL
301,2015-10-22,0.6249,GOOGL
302,2015-10-22,0.6249,GOOGL
303,2015-10-22,0.7003,GOOGL
304,2015-10-20,0.6808,GOOGL
305,2015-10-20,0.6808,GOOGL
306,2015-10-20,0.4767,GOOGL
307,2015-10-19,-0.29600000000000004,GOOGL
308,2015-10-19,0.6597,GOOGL
309,2015-10-19,0.6597,GOOGL
310,2015-10-16,-0.4717,GOOGL
311,2015-10-16,-0.4717,GOOGL
312,2015-10-14,0.0,GOOGL
313,2015-10-14,0.7783,GOOGL
314,2015-10-09,-0.1779,GOOGL
315,2015-10-09,-0.1779,GOOGL
316,2015-10-09,-0.34,GOOGL
317,2015-10-09,0.4767,GOOGL
318,2015-10-07,0.0,GOOGL
319,2015-10-07,0.0,GOOGL
320,2015-10-05,-0.6249,GOOGL
321,2015-10-05,-0.6249,GOOGL
322,2015-10-05,0.4019,GOOGL
323,2015-10-05,0.0,GOOGL
324,2015-10-05,0.5719,GOOGL
325,2015-10-05,0.5719,GOOGL
326,2015-10-05,0.5719,GOOGL
327,2015-10-05,0.29600000000000004,GOOGL
328,2015-10-05,0.29600000000000004,GOOGL
329,2015-10-03,0.0,GOOGL
330,2015-10-02,0.0,GOOGL
331,2015-10-02,0.0,GOOGL
332,2015-10-02,0.0,GOOGL
333,2015-10-02,0.0,GOOGL
334,2015-10-01,0.4767,GOOGL
335,2015-09-30,-0.5574,GOOGL
336,2015-09-30,-0.5574,GOOGL
337,2015-09-30,-0.4215,GOOGL
338,2015-09-29,0.29600000000000004,GOOGL
339,2015-09-29,0.29600000000000004,GOOGL
340,2015-09-29,0.29600000000000004,GOOGL
341,2015-09-29,0.0,GOOGL
342,2015-09-28,0.2023,GOOGL
343,2015-09-25,-0.1027,GOOGL
344,2015-09-25,-0.1027,GOOGL
345,2015-09-25,-0.1027,GOOGL
346,2015-09-25,-0.1027,GOOGL
347,2015-09-25,0.0258,GOOGL
348,2015-09-25,-0.6124,GOOGL
349,2015-09-21,0.3612,GOOGL
350,2015-09-21,-0.6249,GOOGL
351,2015-09-21,-0.6249,GOOGL
352,2015-09-15,0.0,GOOGL
353,2015-09-15,0.0,GOOGL
354,2015-09-15,0.29600000000000004,GOOGL
355,2015-09-15,0.29600000000000004,GOOGL
356,2015-09-14,-0.3612,GOOGL
357,2015-09-14,-0.3612,GOOGL
358,2015-09-14,-0.3612,GOOGL
359,2015-09-14,0.0,GOOGL
360,2015-09-14,-0.4939,GOOGL
361,2015-09-14,0.743,GOOGL
362,2015-09-14,0.0,GOOGL
363,2015-09-10,0.34,GOOGL
364,2015-09-10,0.34,GOOGL
365,2015-09-10,0.0516,GOOGL
366,2015-09-10,0.0516,GOOGL
367,2015-09-10,0.0516,GOOGL
368,2015-09-04,0.0,GOOGL
369,2015-09-04,0.0,GOOGL
370,2015-09-04,0.0,GOOGL
371,2015-09-01,0.0,GOOGL
372,2015-09-01,0.0,GOOGL
373,2015-09-01,-0.25,GOOGL
374,2015-09-01,-0.25,GOOGL
375,2015-09-01,-0.25,GOOGL
376,2015-08-31,0.4404,GOOGL
377,2015-08-31,0.4404,GOOGL
378,2015-08-28,0.5994,GOOGL
379,2015-08-28,0.6249,GOOGL
380,2015-08-28,0.6249,GOOGL
381,2015-08-28,0.6249,GOOGL
382,2015-08-28,0.5994,GOOGL
383,2015-08-27,-0.8779,GOOGL
384,2015-08-27,-0.8779,GOOGL
385,2015-08-27,-0.8779,GOOGL
386,2015-08-27,-0.8779,GOOGL
387,2015-08-21,-0.2755,GOOGL
388,2015-08-21,-0.2755,GOOGL
389,2015-08-18,0.4588,GOOGL
390,2015-08-18,0.4588,GOOGL
391,2015-08-17,0.0,GOOGL
392,2015-08-17,0.25,GOOGL
393,2015-08-17,0.29600000000000004,GOOGL
394,2015-08-13,-0.0572,GOOGL
395,2015-08-13,0.0,GOOGL
396,2015-08-13,0.0,GOOGL
397,2015-08-13,-0.0534,GOOGL
398,2015-08-13,-0.0534,GOOGL
399,2015-08-13,-0.5106,GOOGL
400,2015-08-13,0.29600000000000004,GOOGL
401,2015-08-13,0.128,GOOGL
402,2015-08-13,0.0,GOOGL
403,2015-08-12,0.7506,GOOGL
404,2015-08-12,0.7506,GOOGL
405,2015-08-12,0.7506,GOOGL
406,2015-08-12,0.7506,GOOGL
407,2015-08-11,0.765,GOOGL
408,2015-08-11,0.7003,GOOGL
409,2015-08-11,0.765,GOOGL
410,2015-08-11,0.765,GOOGL
411,2015-08-11,0.765,GOOGL
412,2015-08-11,0.0,GOOGL
413,2015-08-11,0.0,GOOGL
414,2015-08-11,0.0,GOOGL
415,2015-08-11,-0.1655,GOOGL
416,2015-08-11,0.0,GOOGL
417,2015-08-10,0.5719,GOOGL
418,2015-08-10,0.5719,GOOGL
419,2015-08-10,0.5719,GOOGL
420,2015-08-10,0.8442,GOOGL
421,2015-08-10,0.0,GOOGL
422,2015-08-10,0.0772,GOOGL
423,2015-08-07,0.4754,GOOGL
424,2015-08-07,0.4754,GOOGL
425,2015-08-06,0.4588,GOOGL
426,2015-08-06,0.4588,GOOGL
427,2015-08-06,0.4588,GOOGL
428,2015-08-04,0.0,GOOGL
429,2015-07-31,0.0,GOOGL
430,2015-07-31,-0.6908,GOOGL
431,2015-07-30,-0.2732,GOOGL
432,2015-07-30,-0.2732,GOOGL
433,2015-07-30,-0.2732,GOOGL
434,2015-07-30,0.7717,GOOGL
435,2015-07-30,-0.2732,GOOGL
436,2015-07-30,-0.2732,GOOGL
437,2015-07-30,-0.6908,GOOGL
438,2015-07-30,0.0,GOOGL
439,2015-07-30,-0.2732,GOOGL
440,2015-07-30,-0.2732,GOOGL
441,2015-07-29,0.25,GOOGL
442,2015-07-29,0.25,GOOGL
443,2015-07-27,0.7096,GOOGL
444,2015-07-24,0.0,GOOGL
445,2015-07-24,0.0,GOOGL
446,2015-07-23,-0.0258,GOOGL
447,2015-07-23,-0.0258,GOOGL
448,2015-07-23,-0.0258,GOOGL
449,2015-07-22,0.29600000000000004,GOOGL
450,2015-07-22,0.29600000000000004,GOOGL
451,2015-07-20,0.5187,GOOGL
452,2015-07-20,0.1779,GOOGL
453,2015-07-20,0.0258,GOOGL
454,2015-07-19,0.7184,GOOGL
455,2015-07-18,0.7184,GOOGL
456,2015-07-17,-0.2732,GOOGL
457,2015-07-17,0.7184,GOOGL
458,2015-07-17,0.8934,GOOGL
459,2015-07-17,0.0,GOOGL
460,2015-07-17,0.0,GOOGL
461,2015-07-17,0.3612,GOOGL
462,2015-07-17,0.0,GOOGL
463,2015-07-17,-0.7003,GOOGL
464,2015-07-17,0.0,GOOGL
465,2015-07-17,0.6249,GOOGL
466,2015-07-16,-0.34,GOOGL
467,2015-07-16,-0.34,GOOGL
468,2015-07-16,0.872,GOOGL
469,2015-07-16,0.743,GOOGL
470,2015-07-16,0.0,GOOGL
471,2015-07-16,-0.0408,GOOGL
472,2015-07-16,-0.0408,GOOGL
473,2015-07-16,-0.0408,GOOGL
474,2015-07-16,0.128,GOOGL
475,2015-07-08,0.1027,GOOGL
476,2015-07-07,0.0,GOOGL
477,2015-07-06,0.0,GOOGL
478,2015-07-06,0.2023,GOOGL
479,2015-07-06,-0.1027,GOOGL
480,2015-07-01,0.2023,GOOGL
481,2015-07-01,0.2023,GOOGL
482,2015-07-01,-0.5216,GOOGL
483,2015-07-01,0.0,GOOGL
484,2015-06-30,0.0,GOOGL
485,2015-06-30,0.5859,GOOGL
486,2015-06-30,0.5859,GOOGL
487,2015-06-30,0.1027,GOOGL
488,2015-06-30,0.0,GOOGL
489,2015-06-30,0.4939,GOOGL
490,2015-06-29,0.0772,GOOGL
491,2015-06-29,0.4939,GOOGL
492,2015-06-29,0.0,GOOGL
493,2015-06-29,0.8316,GOOGL
494,2015-06-29,-0.5106,GOOGL
495,2015-06-29,-0.5106,GOOGL
496,2015-06-29,0.8316,GOOGL
497,2015-06-29,0.8316,GOOGL
498,2015-06-29,0.743,GOOGL
499,2015-06-27,0.0,GOOGL
500,2015-06-27,0.0,GOOGL
501,2015-06-26,0.4404,GOOGL
502,2015-06-26,0.0,GOOGL
503,2015-06-26,0.0,GOOGL
504,2015-06-25,0.4404,GOOGL
